chrom	length	bases	mean	min	max
TE_00001889#DNA/DTC	1143	432020	377.97	0	2436
TE_00001890_LTR#LTR/Gypsy	4271	10507831	2460.27	3	12131
TE_00001891#MITE/DTA	168	4817	28.67	3	40
TE_00001892_LTR#LTR/Copia	3871	26968165	6966.72	9	33867
TE_00001893#MITE/DTM	98	4052	41.35	22	47
TE_00001895#DNA/DTA	983	8144	8.28	2	14
TE_00001896#MITE/DTT	86	314	3.65	1	6
TE_00001897#DNA/DTC	1981	30555	15.42	0	54
TE_00001898#MITE/DTM	419	36582	87.31	9	142
TE_00001899_INT#LTR/Gypsy	2015	3067166	1522.17	12	4426
TE_00001902#DNA/DTM	1088	20465	18.81	9	34
TE_00001903_INT#LTR/Gypsy	752	89684	119.26	1	360
TE_00001906#DNA/DTT	2733	40676	14.88	0	85
TE_00001907#DNA/Helitron	781	10066	12.89	0	41
TE_00001908_INT#LTR/Gypsy	275	76856	279.48	0	600
TE_00001909#DNA/DTM	92	0	0.00	0	0
TE_00001910_LTR#LTR/Gypsy	331	3531	10.67	2	25
TE_00001912_INT#LTR/Gypsy	258	253567	982.82	0	1445
TE_00001914_INT#LTR/Gypsy	4744	20018	4.22	0	38
TE_00001916_INT#LTR/Gypsy	84	4237	50.44	0	70
TE_00001917#DNA/DTM	1270	19598	15.43	4	32
TE_00001918#DNA/Helitron	1155	6900	5.97	0	20
TE_00001920_INT#LTR/Copia	7088	2628928	370.90	2	3887
TE_00001921#MITE/DTT	116	1466	12.64	1	33
TE_00001922#MITE/DTH	524	8849	16.89	2	29
TE_00001923_INT#LTR/Gypsy	4401	6207357	1410.44	10	4173
TE_00001926_INT#LTR/Gypsy	178	634416	3564.13	0	4902
TE_00001927#DNA/DTT	927	2953	3.19	0	27
TE_00001929#DNA/DTA	784	11343	14.47	2	33
TE_00001930#DNA/DTH	1379	72219	52.37	0	176
TE_00001931_INT#LTR/Copia	4913	350560	71.35	0	247
TE_00001932#DNA/DTT	1071	3662	3.42	0	28
TE_00001933#DNA/Helitron	2992	28075	9.38	0	74
TE_00001934#DNA/Helitron	7496	79383	10.59	0	194
TE_00001935_INT#LTR/Gypsy	1994	1581326	793.04	0	2191
TE_00001936#DNA/Helitron	2707	35202	13.00	1	82
TE_00001938_INT#LTR/Gypsy	297	745950	2511.62	1	3781
TE_00001939#DNA/Helitron	1505	11393	7.57	0	25
TE_00001940#DNA/DTT	1709	29736	17.40	0	113
TE_00001941#DNA/DTT	1911	15098	7.90	1	23
TE_00001942#MITE/DTM	288	15734	54.63	1	160
TE_00001944_INT#LTR/Copia	4865	825707	169.72	10	209
TE_00001945#MITE/DTT	159	658	4.14	1	10
TE_00001946#DNA/DTM	1471	19684	13.38	0	83
TE_00001947#DNA/DTT	806	4604	5.71	0	19
TE_00001949#DNA/DTC	3038	8241	2.71	0	9
TE_00001950#DNA/DTM	1721	22087	12.83	1	35
TE_00001951_INT#LTR/Gypsy	853	569508	667.65	2	1075
TE_00001953_INT#LTR/Copia	1838	66560	36.21	2	93
TE_00001954#DNA/DTH	804	144794	180.09	1	722
TE_00001955#DNA/Helitron	441	1315	2.98	0	7
TE_00001956#DNA/DTA	725	20842	28.75	5	97
TE_00001957#DNA/DTT	2723	31464	11.55	0	76
TE_00001958#DNA/DTC	1106	34201	30.92	0	139
TE_00001959#MITE/DTM	237	746	3.15	1	6
TE_00001962#MITE/DTA	175	3260	18.63	10	24
TE_00001963#DNA/DTH	1602	113212	70.67	0	1143
TE_00001964#DNA/Helitron	1650	24547	14.88	0	165
TE_00001965#DNA/DTC	245	34048	138.97	0	367
TE_00001966#MITE/DTH	439	30313	69.05	12	166
TE_00001968_INT#LTR/Gypsy	1634	1618117	990.28	0	6898
TE_00001970#DNA/DTH	95	13154	138.46	0	251
TE_00001971#DNA/DTC	112	20	0.18	0	1
TE_00001972#DNA/Helitron	1582	46993	29.70	0	67
TE_00001973_LTR#LTR/Gypsy	542	1217651	2246.59	258	6722
TE_00001974#DNA/DTT	1801	28706	15.94	0	40
TE_00001976_LTR#LTR/Copia	1220	6294110	5159.11	0	16816
TE_00001977#DNA/DTM	3749	88260	23.54	0	280
TE_00001978_INT#LTR/Gypsy	2595	4480747	1726.68	0	17299
TE_00001979#DNA/DTC	3449	414604	120.21	1	274
TE_00001980#DNA/DTT	4446	143081	32.18	0	333
TE_00001982_LTR#LTR/Copia	207	2632	12.71	1	30
TE_00001983#MITE/DTH	312	2177	6.98	3	11
TE_00001984#MITE/DTM	445	58674	131.85	28	157
TE_00001985_LTR#LTR/Copia	3050	1278090	419.05	52	877
TE_00001986#DNA/DTH	1258	11322	9.00	0	25
TE_00001987#MITE/DTH	364	7937	21.80	7	36
TE_00001988_INT#LTR/Gypsy	335	645980	1928.30	0	3181
TE_00001989#DNA/DTH	167	29514	176.73	57	238
TE_00001990#DNA/DTC	4395	66642	15.16	0	55
TE_00001991_INT#LTR/Gypsy	5226	1695718	324.48	0	1794
TE_00001992#DNA/DTH	1367	394777	288.79	14	521
TE_00001993_INT#LTR/Gypsy	3248	568549	175.05	0	535
TE_00001994_INT#LTR/Copia	1143	3913728	3424.08	0	8948
TE_00001995_INT#LTR/Gypsy	469	115191	245.61	0	577
TE_00001996_INT#LTR/Copia	4922	22955	4.66	0	50
TE_00001997_LTR#LTR/Gypsy	362	86003	237.58	4	1052
TE_00001998#DNA/DTT	1400	337564	241.12	0	2074
TE_00001999#DNA/DTM	1953	240794	123.29	0	974
TE_00002000_INT#LTR/Gypsy	2878	2044035	710.23	0	3216
TE_00002001_INT#LTR/Gypsy	2383	5636	2.37	0	16
TE_00002002#MITE/DTH	270	1158	4.29	0	9
TE_00002004_INT#LTR/Gypsy	661	2732758	4134.28	0	6408
TE_00002005#DNA/Helitron	3989	28536	7.15	0	37
TE_00002006#DNA/DTT	2382	25435	10.68	0	37
TE_00002007#DNA/DTT	2371	44882	18.93	1	56
TE_00002008#DNA/DTT	1683	13014	7.73	0	21
TE_00002009#DNA/DTC	1260	98104	77.86	1	196
TE_00002010_INT#LTR/Copia	5205	640755	123.10	1	309
TE_00002011#MITE/DTT	306	1574	5.14	0	14
TE_00002012_INT#LTR/Copia	4331	385228	88.95	0	308
TE_00002013_INT#LTR/Copia	7032	3295339	468.62	0	2012
TE_00002014_LTR#LTR/Copia	181	165	0.91	0	3
TE_00002015_INT#LTR/Gypsy	3857	756227	196.07	0	901
TE_00002016#DNA/DTC	2957	47376	16.02	1	35
TE_00002017#DNA/DTT	941	2910	3.09	0	8
TE_00002018_INT#LTR/Gypsy	1076	79949	74.30	0	154
TE_00002019#DNA/DTT	1453	2786751	1917.93	2	3640
TE_00002020#MITE/DTT	236	2176	9.22	2	21
TE_00002021#MITE/DTM	97	354	3.65	3	4
TE_00002023_INT#LTR/Gypsy	791	288901	365.24	0	1078
TE_00002024_INT#LTR/Gypsy	2011	1971703	980.46	0	3943
TE_00002025_INT#LTR/Copia	4477	325828	72.78	0	316
TE_00002027_INT#LTR/Gypsy	2431	2278165	937.13	0	2412
TE_00002029_INT#LTR/Gypsy	491	71447	145.51	0	388
TE_00002031#MITE/DTA	172	3740	21.74	13	40
TE_00002032#DNA/DTT	1282	4429	3.45	0	42
TE_00002033#DNA/Helitron	442	3761	8.51	1	21
TE_00002035_INT#LTR/Gypsy	1829	5213737	2850.59	1	8430
TE_00002036#DNA/DTT	3552	113344	31.91	2	108
TE_00002037_INT#LTR/Gypsy	4587	48261	10.52	1	31
TE_00002038#MITE/DTH	138	2854	20.68	14	26
TE_00002039#DNA/DTT	1213	4498	3.71	0	19
TE_00002041_LTR#LTR/Gypsy	383	64464	168.31	2	623
TE_00002042_LTR#LTR/Copia	162	1424	8.79	3	13
TE_00002043_INT#LTR/Copia	4632	711338	153.57	0	429
TE_00002044#MITE/DTM	253	2743	10.84	2	20
TE_00002045_INT#LTR/Gypsy	10625	2194977	206.59	0	2651
TE_00002047#MITE/DTM	87	534	6.14	3	7
TE_00002048#MITE/DTM	259	19466	75.16	3	155
TE_00002049#DNA/DTM	1160	52773	45.49	0	308
TE_00002050#DNA/DTM	1096	19290	17.60	1	40
TE_00002051#DNA/Helitron	215	688	3.20	0	12
TE_00002052_LTR#LTR/Copia	168	4724	28.12	2	34
TE_00002053#DNA/DTC	3655	75305	20.60	1	53
TE_00002054_INT#LTR/Copia	4684	78780	16.82	0	36
TE_00002055#DNA/DTH	1246	16226	13.02	1	46
TE_00002056#DNA/DTH	1206	28300	23.47	0	96
TE_00002057#DNA/DTC	2536	6203665	2446.24	1	4306
TE_00002058#DNA/DTH	1992	504523	253.27	1	1036
TE_00002059#DNA/DTH	2281	14068	6.17	0	16
TE_00002060#DNA/DTC	1221	33718	27.62	0	108
TE_00002061_INT#LTR/Copia	6154	2839989	461.49	41	2378
TE_00002062#DNA/DTT	1652	19658	11.90	0	61
TE_00002064_LTR#LTR/Gypsy	1175	1322669	1125.68	34	6007
TE_00002065#DNA/DTT	2844	4465	1.57	0	6
TE_00002066_INT#LTR/Gypsy	4574	143235	31.32	1	79
TE_00002067#DNA/DTH	1162	80076	68.91	0	225
TE_00002070_INT#LTR/Copia	4553	80493	17.68	1	176
TE_00002071_INT#LTR/Gypsy	3333	1573386	472.06	1	1638
TE_00002072#MITE/DTA	545	103271	189.49	77	275
TE_00002075_LTR#LTR/Gypsy	4024	1396518	347.05	14	1289
TE_00002076_INT#LTR/Gypsy	352	59008	167.64	0	331
TE_00002077_INT#LTR/Gypsy	11886	16173167	1360.69	68	4468
TE_00002078#MITE/DTH	153	2885	18.86	0	22
TE_00002080_LTR#LTR/Gypsy	4092	2700170	659.87	51	2326
TE_00002082#MITE/DTC	488	50422	103.32	0	285
TE_00002083_LTR#LTR/Copia	122	6502	53.30	14	85
TE_00002084_INT#LTR/Gypsy	6470	7062462	1091.57	0	2891
TE_00002085#DNA/DTH	1795	106356	59.25	1	165
TE_00002086_INT#LTR/Gypsy	1900	1524115	802.17	0	3515
TE_00002088#DNA/DTT	1674	3099471	1851.54	0	5183
TE_00002089#DNA/Helitron	518	325800	628.96	49	1308
TE_00002090#DNA/DTH	1717	164010	95.52	3	300
TE_00002091#DNA/Helitron	2081	81321	39.08	4	82
TE_00002092_INT#LTR/Gypsy	4896	2498608	510.34	0	2354
TE_00002093#MITE/DTT	94	369	3.93	0	8
TE_00002094_INT#LTR/Gypsy	80	406	5.08	0	12
TE_00002095#DNA/DTC	4515	30362	6.72	0	88
TE_00002096#DNA/DTT	2255	10026	4.45	0	15
TE_00002097_LTR#LTR/Gypsy	4125	2198423	532.95	8	7963
TE_00002098#MITE/DTT	228	1376	6.04	0	15
TE_00002099_LTR#LTR/Gypsy	4053	724272	178.70	2	1158
TE_00002100#DNA/Helitron	4060	11322	2.79	0	18
TE_00002101#MITE/DTT	85	152	1.79	1	2
TE_00002102#DNA/DTT	820	8078	9.85	0	76
TE_00002103#DNA/DTT	2536	18802	7.41	0	47
TE_00002104#DNA/Helitron	876	39086	44.62	0	187
TE_00002105_INT#LTR/Copia	293	5172	17.65	0	66
TE_00002107_LTR#LTR/Gypsy	3912	4417986	1129.34	36	10339
TE_00002108_INT#LTR/Copia	5775	83437	14.45	0	175
TE_00002110#MITE/DTM	364	65835	180.87	14	325
TE_00002111_LTR#LTR/Gypsy	4231	3445800	814.42	17	3379
TE_00002112#MITE/DTA	184	14497	78.79	34	100
TE_00002113_INT#LTR/Copia	6281	2963443	471.81	0	3413
TE_00002115_INT#LTR/Gypsy	99	21131	213.44	96	247
TE_00002116#DNA/DTA	1132	12314	10.88	2	94
TE_00002117#MITE/DTT	337	22813	67.69	9	139
TE_00002118_INT#LTR/Gypsy	1731	7265	4.20	0	7
TE_00002119#DNA/DTC	2802	910196	324.84	0	815
TE_00002120#DNA/DTC	1005	54522	54.25	0	131
TE_00002121_INT#LTR/Gypsy	1350	1162541	861.14	0	2943
TE_00002122#MITE/DTM	188	21661	115.22	4	237
TE_00002123_INT#LTR/Gypsy	208	231975	1115.26	0	1441
TE_00002124#DNA/DTM	1141	63636	55.77	2	315
TE_00002125#DNA/DTC	1039	74214	71.43	0	425
TE_00002126_INT#LTR/Copia	4789	259747	54.24	2	696
TE_00002127_LTR#LTR/Gypsy	1003	2688236	2680.20	339	3685
TE_00002128#DNA/DTH	1142	14780	12.94	1	445
TE_00002129#DNA/DTC	175	10430	59.60	3	91
TE_00002130#DNA/Helitron	9570	201903	21.10	0	395
TE_00002131#DNA/Helitron	10848	398904	36.77	0	365
TE_00002132#DNA/Helitron	334	31209	93.44	26	132
TE_00002133#DNA/DTT	2393	82553	34.50	0	218
TE_00002134#DNA/DTC	1118	60193	53.84	0	242
TE_00002135_LTR#LTR/Copia	1444	2555852	1769.98	11	5927
TE_00002136_INT#LTR/Gypsy	2257	1543273	683.77	0	1916
TE_00002137#DNA/DTM	3515	14704	4.18	0	13
TE_00002138#DNA/DTT	849	8341	9.82	0	49
TE_00002139#DNA/DTM	709	20431	28.82	8	62
TE_00002140#DNA/DTH	531	3523	6.63	0	40
TE_00002141#DNA/Helitron	2478	29196	11.78	0	30
TE_00002142#DNA/DTC	1068	2731	2.56	0	9
TE_00002143_INT#LTR/Gypsy	2220	2013616	907.03	1	1688
TE_00002144_LTR#LTR/Gypsy	945	272695	288.57	47	541
TE_00002145#DNA/DTM	1009	58853	58.33	7	98
TE_00002146_INT#LTR/Gypsy	384	147887	385.12	0	643
TE_00002147_INT#LTR/Gypsy	801	1675099	2091.26	0	3912
TE_00002149#MITE/DTT	209	3134	15.00	2	31
TE_00002150_LTR#LTR/Copia	228	4506	19.76	1	29
TE_00002151_LTR#LTR/Copia	246	1005531	4087.52	35	4666
TE_00002152#DNA/DTT	2054	17272	8.41	0	79
TE_00002153#DNA/DTM	1764	7585	4.30	0	21
TE_00002154_INT#LTR/Gypsy	114	124	1.09	0	3
TE_00002156#DNA/DTC	221	119	0.54	0	5
TE_00002157#DNA/DTM	670	16874	25.19	5	148
TE_00002158#DNA/Helitron	604	8099	13.41	1	44
TE_00002159_LTR#LTR/Gypsy	4150	1410480	339.87	5	1496
TE_00002161#DNA/DTC	1127	23340	20.71	0	69
TE_00002162#MITE/DTT	109	106	0.97	0	2
TE_00002163_INT#LTR/Gypsy	6426	4045613	629.57	0	2952
TE_00002164_LTR#LTR/Copia	304	181491	597.01	203	740
TE_00002165_LTR#LTR/Copia	226	2153	9.53	1	13
TE_00002166#MITE/DTT	229	2654	11.59	2	39
TE_00002168#MITE/DTT	437	14173	32.43	0	133
TE_00002170#DNA/Helitron	6488	65382	10.08	0	168
TE_00002171#DNA/DTH	704	10610	15.07	1	30
TE_00002174_INT#LTR/Copia	9715	25463320	2621.03	3	6745
TE_00002175_LTR#LTR/Gypsy	989	218045	220.47	10	819
TE_00002176_INT#LTR/Copia	85	612	7.20	2	11
TE_00002177#DNA/DTA	755	7231	9.58	3	22
TE_00002178#MITE/DTA	83	398	4.80	3	5
TE_00002179_LTR#LTR/Gypsy	4168	12407719	2976.90	76	6593
TE_00002180_INT#LTR/Gypsy	1382	205066	148.38	0	379
TE_00002182_LTR#LTR/Copia	194	5075	26.16	9	58
TE_00002183#DNA/DTA	611	156259	255.74	107	324
TE_00002184_INT#LTR/Gypsy	1881	2750797	1462.41	3	4060
TE_00002185_LTR#LTR/Gypsy	357	3977	11.14	1	18
TE_00002186_INT#LTR/Gypsy	4164	2661726	639.22	1	4007
TE_00002188#MITE/DTT	139	2939	21.14	0	46
TE_00002189#DNA/Helitron	236	269	1.14	0	3
TE_00002190_LTR#LTR/Gypsy	2891	3975914	1375.27	12	5202
TE_00002192#MITE/DTT	179	87580	489.27	7	796
TE_00002193#DNA/DTH	2214	1502617	678.69	0	983
TE_00002194#MITE/DTM	521	16374	31.43	1	72
TE_00002196#DNA/DTC	3403	37865	11.13	2	73
TE_00002197_INT#LTR/Gypsy	662	243506	367.83	6	766
TE_00002198#MITE/DTH	189	7638	40.41	0	120
TE_00002199#DNA/DTH	989	23828	24.09	0	155
TE_00002202#DNA/DTT	1812	33433	18.45	0	86
TE_00002205#DNA/DTA	2224	37139	16.70	2	46
TE_00002207#DNA/DTM	784	18033	23.00	2	47
TE_00002208_LTR#LTR/Gypsy	635	1233458	1942.45	6	2758
TE_00002209_LTR#LTR/Copia	135	4590394	34002.92	3815	48621
TE_00002210_INT#LTR/Gypsy	116	12831	110.61	33	215
TE_00002211_INT#LTR/Copia	4363	150366	34.46	2	70
TE_00002212_INT#LTR/Gypsy	198	39922	201.63	0	252
TE_00002213#DNA/DTM	496	5629	11.35	0	29
TE_00002214_INT#LTR/Gypsy	404	467474	1157.11	0	2654
TE_00002215#DNA/DTH	2734	15974	5.84	0	14
TE_00002216#DNA/DTT	974	3493	3.59	0	26
TE_00002217#MITE/DTA	177	6783	38.32	20	54
TE_00002218#MITE/DTA	178	5553	31.20	17	38
TE_00002219_INT#LTR/Gypsy	8540	3433223	402.02	1	4144
TE_00002220#MITE/DTT	303	44664	147.41	21	232
TE_00002221#DNA/Helitron	3745	39020	10.42	0	54
TE_00002222#DNA/DTT	3438	43267	12.58	0	263
TE_00002223#MITE/DTT	173	595	3.44	0	7
TE_00002224_INT#LTR/Gypsy	6189	2169515	350.54	16	1646
TE_00002225#DNA/DTA	608	6837	11.25	4	21
TE_00002226_INT#LTR/Gypsy	102	105339	1032.74	2	1198
TE_00002227#MITE/DTM	401	185418	462.39	0	713
TE_00002228#DNA/Helitron	310	2959	9.55	0	36
TE_00002229_INT#LTR/Gypsy	5993	1530954	255.46	0	1322
TE_00002230#DNA/DTC	1270	204895	161.33	0	607
TE_00002231_INT#LTR/Copia	4513	31302	6.94	0	48
TE_00002232_INT#LTR/Copia	4436	238673	53.80	3	125
TE_00002233_INT#LTR/Copia	4524	224016	49.52	1	139
TE_00002234_INT#LTR/Gypsy	2352	2554286	1086.01	0	2864
TE_00002235#MITE/DTC	508	4347	8.56	0	90
TE_00002237#DNA/DTM	842	1001317	1189.21	364	1697
TE_00002238#DNA/DTT	1033	7881	7.63	0	55
TE_00002239_INT#LTR/Gypsy	865	246556	285.04	0	834
TE_00002240#MITE/DTT	348	2858	8.21	2	16
TE_00002241#DNA/DTT	673	30476	45.28	0	800
TE_00002242_INT#LTR/Gypsy	4397	142194	32.34	2	49
TE_00002243_LTR#LTR/Copia	147	60749	413.26	59	495
TE_00002244#DNA/DTT	2394	126280	52.75	0	1091
TE_00002245#DNA/DTA	729	11116	15.25	4	24
TE_00002246#DNA/DTC	744	268059	360.29	0	2023
TE_00002247#MITE/DTT	131	7680	58.63	28	85
TE_00002248_INT#LTR/Gypsy	5653	989080	174.97	0	1109
TE_00002250#DNA/DTH	809	79421	98.17	2	336
TE_00002252#DNA/DTC	3592	26198	7.29	0	35
TE_00002253#DNA/DTC	1311	551892	420.97	10	1223
TE_00002254#DNA/DTC	2814	43162	15.34	1	67
TE_00002255#DNA/DTA	4324	105970	24.51	3	46
TE_00002256#DNA/DTH	1139	20740	18.21	0	65
TE_00002257_LTR#LTR/Gypsy	599	10247	17.11	6	43
TE_00002258#DNA/DTC	2220	216533	97.54	0	328
TE_00002259#DNA/DTC	3636	2826243	777.29	1	2870
TE_00002260#MITE/DTT	293	1841	6.28	1	15
TE_00002261_INT#LTR/Gypsy	409	37571	91.86	0	312
TE_00002262#DNA/Helitron	1485	388296	261.48	0	1239
TE_00002263_LTR#LTR/Gypsy	263	4936	18.77	1	63
TE_00002265_INT#LTR/Copia	1230	343378	279.17	1	512
TE_00002266_LTR#LTR/Gypsy	1052	61250	58.22	2	127
TE_00002267#DNA/DTT	3133	53307	17.01	0	145
TE_00002269#DNA/Helitron	789	8764	11.11	2	55
TE_00002271#DNA/DTT	4247	10963533	2581.48	1	5275
TE_00002272_INT#LTR/Gypsy	2551	1700466	666.59	0	2684
TE_00002273#DNA/Helitron	1934	12110	6.26	0	18
TE_00002275_INT#LTR/Gypsy	3634	1748334	481.10	0	1331
TE_00002276_INT#LTR/Gypsy	2328	98965	42.51	0	418
TE_00002277#DNA/DTH	913	48894	53.55	3	155
TE_00002278#MITE/DTC	191	1309	6.85	0	34
TE_00002279#DNA/Helitron	1639	7996	4.88	0	33
TE_00002280#MITE/DTH	459	12861	28.02	6	40
TE_00002281#DNA/DTC	3263	16559	5.07	0	16
TE_00002282#MITE/DTA	194	3911	20.16	7	28
TE_00002283_INT#LTR/Gypsy	11083	11594328	1046.14	7	4547
TE_00002284#DNA/DTM	1765	9107	5.16	0	41
TE_00002286#DNA/Helitron	4354	51675	11.87	0	46
TE_00002287_INT#LTR/Gypsy	171	23177	135.54	47	201
TE_00002288#DNA/DTT	3687	23544	6.39	0	135
TE_00002289#MITE/DTA	166	7589	45.72	25	69
TE_00002290#DNA/DTT	2232	8420	3.77	0	44
TE_00002291_INT#LTR/Gypsy	1643	1561369	950.32	0	3655
TE_00002293_INT#LTR/Gypsy	1551	185853	119.83	0	394
TE_00002294#DNA/DTM	825	9441	11.44	3	39
TE_00002295#MITE/DTT	348	91056	261.66	0	585
TE_00002298#MITE/DTA	88	2529	28.74	6	49
TE_00002300#DNA/DTT	3429	50767	14.81	0	36
TE_00002301#DNA/DTM	1271	29327	23.07	3	239
TE_00002302_LTR#LTR/Gypsy	873	509171	583.24	141	1099
TE_00002303_INT#LTR/Gypsy	1253	1519592	1212.76	0	2336
TE_00002304_INT#LTR/Gypsy	1253	2482406	1981.17	214	4286
TE_00002305#MITE/DTT	335	2797	8.35	1	15
TE_00002306#DNA/Helitron	2276	8582	3.77	0	17
TE_00002307#DNA/DTH	209	660	3.16	0	9
TE_00002310_INT#LTR/Gypsy	3396	4410486	1298.73	26	3784
TE_00002313_INT#LTR/Copia	1783	2698061	1513.21	0	5482
TE_00002314_INT#LTR/Gypsy	3050	1007632	330.37	0	1332
TE_00002315_INT#LTR/Gypsy	348	167509	481.35	2	1160
TE_00002316_LTR#LTR/Gypsy	1239	3227592	2605.00	221	5975
TE_00002318_LTR#LTR/Copia	3778	5716425	1513.08	7	9181
TE_00002319#DNA/DTM	1127	52934	46.97	0	88
TE_00002320#DNA/DTC	2960	903251	305.15	4	1041
TE_00002321#MITE/DTT	259	1898	7.33	3	11
TE_00002323_LTR#LTR/Gypsy	4250	34061114	8014.38	11	28265
TE_00002324#DNA/Helitron	107	480	4.49	0	6
TE_00002325_LTR#LTR/Copia	1727	14718881	8522.80	934	26418
TE_00002326#DNA/DTH	2140	679024	317.30	5	783
TE_00002327#MITE/DTT	85	781	9.19	0	23
TE_00002330_INT#LTR/Copia	1837	2405553	1309.50	59	2868
TE_00002331_LTR#LTR/Copia	1505	1570061	1043.23	33	2945
TE_00002332#DNA/DTC	3611	68373	18.93	6	187
TE_00002333#MITE/DTT	98	377	3.85	2	8
TE_00002334#DNA/DTH	1048	18240	17.40	1	229
TE_00002335#DNA/DTT	3879	18230	4.70	0	79
TE_00002336#DNA/DTT	2078	9413	4.53	0	20
TE_00002337_LTR#LTR/Copia	138	29287	212.22	117	249
TE_00002338_INT#LTR/Copia	370	5139	13.89	0	33
TE_00002340_INT#LTR/Gypsy	1674	863648	515.92	2	1357
TE_00002341#DNA/DTH	2328	75865	32.59	0	148
TE_00002342_INT#LTR/Gypsy	1357	1291490	951.72	3	2992
TE_00002343#DNA/DTM	2020	14932	7.39	0	28
TE_00002344#DNA/DTA	984	8271	8.41	1	31
TE_00002345#DNA/DTH	1712	502047	293.25	4	509
TE_00002346#DNA/DTC	1359	105055	77.30	0	195
TE_00002347#MITE/DTA	179	5760	32.18	1	44
TE_00002348#MITE/DTT	383	24288	63.42	0	498
TE_00002349_INT#LTR/Gypsy	4195	3439402	819.88	0	2242
TE_00002350_INT#LTR/Gypsy	5363	5410910	1008.93	0	3796
TE_00002351_INT#LTR/Gypsy	154	39381	255.72	0	312
TE_00002352_LTR#LTR/Copia	118	6790	57.54	32	73
TE_00002353_INT#LTR/Copia	184	238	1.29	0	3
TE_00002354_INT#LTR/Gypsy	263	27192	103.39	15	135
TE_00002355#DNA/Helitron	2468	10170	4.12	0	32
TE_00002356#MITE/DTA	157	923	5.88	2	10
TE_00002357#DNA/DTH	1152	52881	45.90	1	284
TE_00002358#DNA/Helitron	5175	86217	16.66	0	56
TE_00002360_INT#LTR/Gypsy	2698	1653665	612.92	0	1912
TE_00002361_LTR#LTR/Copia	283	5616	19.84	7	26
TE_00002362_LTR#LTR/Copia	1172	18996154	16208.32	0	29310
TE_00002363_INT#LTR/Copia	1807	2287791	1266.07	18	5076
TE_00002364_INT#LTR/Gypsy	1906	1193321	626.09	0	1682
TE_00002365#DNA/DTA	1396	52664	37.72	3	130
TE_00002366_INT#LTR/Copia	3435	587925	171.16	0	630
TE_00002367#DNA/DTA	1131	23935	21.16	1	80
TE_00002368_LTR#LTR/Gypsy	1020	317762	311.53	16	1208
TE_00002370#MITE/DTC	423	53460	126.38	6	251
TE_00002371_INT#LTR/Copia	1887	1917349	1016.08	0	3140
TE_00002372#DNA/Helitron	8981	196510	21.88	0	257
TE_00002373#DNA/DTC	896	4852	5.42	0	15
TE_00002374_INT#LTR/Gypsy	2866	699278	243.99	0	1166
TE_00002375_INT#LTR/Gypsy	7355	11771825	1600.52	0	11802
TE_00002376_INT#LTR/Gypsy	9004	16197640	1798.94	14	5718
TE_00002377#MITE/DTT	124	253614	2045.27	1234	2399
TE_00002378#DNA/Helitron	8664	68410837	7895.99	1	35167
TE_00002379#DNA/DTA	660	92034	139.45	0	234
TE_00002382#MITE/DTT	137	562	4.10	2	11
TE_00002383#DNA/DTH	1836	210224	114.50	4	330
TE_00002384_INT#LTR/Gypsy	469	519296	1107.24	0	1783
TE_00002385#DNA/DTM	1325	10152	7.66	1	43
TE_00002386_LTR#LTR/Copia	166	903	5.44	1	8
TE_00002387#MITE/DTT	376	4875	12.97	8	16
TE_00002388_INT#LTR/Gypsy	3710	292293	78.79	0	1665
TE_00002389_LTR#LTR/Gypsy	4055	930797	229.54	5	1462
TE_00002390_INT#LTR/Gypsy	3565	14939088	4190.49	0	12752
TE_00002391#MITE/DTT	287	1856	6.47	1	10
TE_00002393#DNA/DTC	3770	6332318	1679.66	5	11942
TE_00002394_LTR#LTR/Gypsy	771	5173909	6710.65	289	25818
TE_00002395_INT#LTR/Gypsy	928	937483	1010.22	0	6573
TE_00002396#DNA/DTA	2226	78801	35.40	2	111
TE_00002397#DNA/DTM	1440	520770	361.65	67	531
TE_00002399_LTR#LTR/Copia	1085	1709599	1575.67	39	3811
TE_00002400#DNA/DTM	1712	37984	22.19	0	73
TE_00002401#DNA/Helitron	668	11385	17.04	1	49
TE_00002403#DNA/Helitron	271	3569	13.17	7	35
TE_00002404#DNA/DTC	2113	655753	310.34	1	972
TE_00002405#MITE/DTA	190	3544	18.65	3	24
TE_00002406#DNA/DTT	2779	1591	0.57	0	18
TE_00002407#DNA/DTT	332	198305	597.30	2	1612
TE_00002408_INT#LTR/Gypsy	2198	2988251	1359.53	128	2450
TE_00002409#DNA/DTH	1778	181216	101.92	0	266
TE_00002410#DNA/Helitron	1186	10346621	8723.96	63	22664
TE_00002411_INT#LTR/Gypsy	1194	1666256	1395.52	0	4027
TE_00002412_LTR#LTR/Gypsy	274	77566	283.09	3	1106
TE_00002413#MITE/DTH	460	1534	3.33	1	8
TE_00002415#DNA/DTC	3968	845086	212.98	3	1390
TE_00002416#DNA/DTC	2713	20284	7.48	0	43
TE_00002417#DNA/DTT	931	7230	7.77	2	14
TE_00002418_INT#LTR/Gypsy	1264	569905	450.87	0	1186
TE_00002419_INT#LTR/Gypsy	4930	37412	7.59	1	157
TE_00002420#MITE/DTA	176	2137	12.14	6	17
TE_00002421#MITE/DTT	143	89959	629.08	0	1288
TE_00002422_LTR#LTR/Copia	272	27086	99.58	39	127
